round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor
38,0.24653999999999998,784415274.9999999,531.92578125,5122643.199999999,0.05832500000000029,3.9985741040436813,0.0,731,0.5319123568916725,0.9997039905077125,9.242447616598134e-05,4439.0349732454715
39,0.25142,767281749.9999999,535.44921875,5122720.0,0.05855000000000031,4.034545951272934,0.0,749,0.5196323362507395,0.9997189783301068,9.30749223417005e-05,4399.977374998559
40,0.25692000000000004,763333474.9999999,539.19140625,5122591.999999999,0.0587750000000003,4.043346387681555,0.0,753,0.5177082778754267,0.9996939986261163,9.370569547199987e-05,4361.92251813848
41,0.26354,764091999.9999999,542.5859375,5122614.399999999,0.05900000000000029,4.079605002899517,0.0,752,0.5184560107107274,0.9996983700743146,9.433890041272504e-05,4325.213110800643
42,0.25894,769553949.9999999,546.19921875,5122598.399999999,0.059225000000000305,4.103274141084054,0.0,746,0.5223205655020141,0.9996952476113158,9.497141771317993e-05,4289.567346943561
43,0.27032,763726599.9999999,549.828125,5122544.0,0.059450000000000294,4.110499872674123,0.0,752,0.5181915473186188,0.9996846312371198,9.558108317079571e-05,4255.188063340033
44,0.27132,739095449.9999999,552.71875,5122611.199999999,0.0596750000000003,4.140811472471043,0.0,778,0.5020038781458231,0.9996977455817149,9.619181426091827e-05,4221.995397914475
45,0.26949999999999996,759600799.9999999,556.4140625,5122438.399999999,0.05990000000000031,4.17537391784005,0.0,756,0.5165595029018353,0.9996640229813277,9.679727337713847e-05,4189.527971300936
46,0.27484000000000003,763178499.9999999,559.82421875,5122521.6,0.0601250000000003,4.221646626566878,0.0,752,0.5187330668625056,0.9996802597889215,9.74173294737438e-05,4157.743884963206
47,0.27792000000000006,763935449.9999999,563.7109375,5122540.8,0.060350000000000306,4.212418611470673,0.0,751,0.5189919934999924,0.9996840067445201,9.800605403077932e-05,4127.179613183029
48,0.28418,772207349.9999999,567.28515625,5122425.6,0.06057500000000031,4.234336363360692,0.0,742,0.5282965937792691,0.9996615250109286,9.858405334416064e-05,4097.753018435465
49,0.28912,750420799.9999999,570.74609375,5122390.399999999,0.06080000000000031,4.2731971942708435,0.0,765,0.5110427302407026,0.9996546555923312,9.916594479204532e-05,4068.884513519417
50,0.29037999999999997,759630774.9999999,574.43359375,5122419.199999999,0.06102500000000031,4.3158661963217755,0.0,755,0.5183134711746108,0.999660276025729,9.975143676530177e-05,4040.7200992585736
51,0.28824,764142499.9999999,578.015625,5122329.6,0.06125000000000032,4.346746999320163,0.0,750,0.5208166632880279,0.9996427902329358,0.00010033475600010702,4013.4143922816293
52,0.29056,766774924.9999999,581.40625,5122300.799999999,0.06147500000000032,4.355899653929372,0.0,747,0.5233910543174274,0.9996371697995379,0.00010090724735514882,3986.7438607367053
